Fuel Calculation Table
*****************************************************
ITEM		MASS		FUEL		SUBTOTAL
*****************************************************
1			99711 		33235		49825
2			136867 		45620		118224
3			97107 		32367		166745
4			108257 		36083		220840
5			57509 		19167		249564
6			129721 		43238		314390
7			139889 		46627		384301
8			91988 		30660		430264
9			54465 		18153		457467
10			129229 		43074		522049
11			59122 		19705		551580
12			97391 		32461		600242
13			57509 		19167		628966
14			70687 		23560		664277
15			72733 		24242		700611
16			137687 		45893		769418
17			123889 		41294		831328
18			53484 		17826		858042
19			71869 		23954		893943
20			144816 		48270		966318
21			83856 		27950		1008215
22			131570 		43854		1073968
23			68905 		22966		1108389
24			66648 		22214		1141682
25			124392 		41462		1203844
26			59964 		19986		1233797
27			80553 		26849		1274042
28			93881 		31291		1320950
29			56253 		18749		1349046
30			76282 		25425		1387154
31			127377 		42457		1450810
32			110425 		36806		1505989
33			59914 		19969		1535916
34			76294 		25429		1574029
35			81888 		27294		1614944
36			88986 		29660		1659405
37			132544 		44179		1725644
38			70423 		23472		1760824
39			124018 		41337		1822801
40			122121 		40705		1883829
41			53231 		17741		1910415
42			148042 		49345		1984403
43			108810 		36268		2038776
44			75092 		25028		2076291
45			60185 		20059		2106353
46			94065 		31353		2153356
47			130221 		43405		2218433
48			121319 		40437		2279060
49			87502 		29165		2322780
50			90029 		30007		2367762
51			86186 		28726		2410824
52			113956 		37983		2467769
53			143744 		47912		2539606
54			133441 		44478		2606295
55			142914 		47636		2677720
56			112218 		37404		2733797
57			66629 		22207		2767080
58			144965 		48319		2839529
59			135476 		45156		2907232
60			111537 		37177		2962971
61			51709 		17234		2988794
62			125198 		41730		3051361
63			72098 		24030		3087377
64			79625 		26539		3127159
65			105068 		35020		3179662
66			119597 		39863		3239428
67			71611 		23868		3275202
68			122186 		40726		3336261
69			95752 		31915		3384105
70			51967 		17320		3410057
71			117725 		39239		3468885
72			52696 		17563		3495203
73			100411 		33468		3545377
74			70222 		23405		3580455
75			66330 		22108		3613588
76			119579 		39857		3673345
77			116075 		38689		3731350
78			91228 		30407		3776931
79			68982 		22992		3811391
80			114698 		38230		3868708
81			125333 		41775		3931342
82			139219 		46404		4000918
83			148789 		49594		4075279
84			101768 		33920		4126130
85			97593 		32529		4174893
86			100820 		33604		4225271
87			75959 		25317		4263218
88			128572 		42855		4327472
89			99469 		33154		4377176
90			102120 		34038		4428205
91			76462 		25485		4466404
92			128313 		42769		4530529
93			123442 		41145		4592219
94			83860 		27951		4634119
95			76163 		25385		4672167
96			142707 		47567		4743487
97			66275 		22089		4776593
98			70837 		23610		4811980
99			137203 		45732		4880547
100			71123 		23705		4916076

Total Fuel is 4916076
