INTCODE Solutions

*********************************************
Item		Noun		Verb		Output
1			0			0			1870666
2			0			1			1870667
3			0			2			1870668
4			0			3			1870669
5			0			4			1870670
6			0			5			1870671
7			0			6			1870672
8			0			7			1870673
9			0			8			1870674
10			0			9			1870675
11			0			10			1870676
12			0			11			1870677
13			0			12			1870678
14			0			13			1870679
15			0			14			1870680
16			0			15			1870681
17			0			16			1870682
18			0			17			1870683
19			0			18			1870684
20			0			19			1870685
21			0			20			1870686
22			0			21			1870687
23			0			22			1870688
24			0			23			1870689
25			0			24			1870690
26			0			25			1870691
27			0			26			1870692
28			0			27			1870693
29			0			28			1870694
30			0			29			1870695
31			0			30			1870696
32			0			31			1870697
33			0			32			1870698
34			0			33			1870699
35			0			34			1870700
36			0			35			1870701
37			0			36			1870702
38			0			37			1870703
39			0			38			1870704
40			0			39			1870705
41			0			40			1870706
42			0			41			1870707
43			0			42			1870708
44			0			43			1870709
45			0			44			1870710
46			0			45			1870711
47			0			46			1870712
48			0			47			1870713
49			0			48			1870714
50			0			49			1870715
51			0			50			1870716
52			0			51			1870717
53			0			52			1870718
54			0			53			1870719
55			0			54			1870720
56			0			55			1870721
57			0			56			1870722
58			0			57			1870723
59			0			58			1870724
60			0			59			1870725
61			0			60			1870726
62			0			61			1870727
63			0			62			1870728
64			0			63			1870729
65			0			64			1870730
66			0			65			1870731
67			0			66			1870732
68			0			67			1870733
69			0			68			1870734
70			0			69			1870735
71			0			70			1870736
72			0			71			1870737
73			0			72			1870738
74			0			73			1870739
75			0			74			1870740
76			0			75			1870741
77			0			76			1870742
78			0			77			1870743
79			0			78			1870744
80			0			79			1870745
81			0			80			1870746
82			0			81			1870747
83			0			82			1870748
84			0			83			1870749
85			0			84			1870750
86			0			85			1870751
87			0			86			1870752
88			0			87			1870753
89			0			88			1870754
90			0			89			1870755
91			0			90			1870756
92			0			91			1870757
93			0			92			1870758
94			0			93			1870759
95			0			94			1870760
96			0			95			1870761
97			0			96			1870762
98			0			97			1870763
99			0			98			1870764
100			0			99			1870765
101			1			0			2680666
102			1			1			2680667
103			1			2			2680668
104			1			3			2680669
105			1			4			2680670
106			1			5			2680671
107			1			6			2680672
108			1			7			2680673
109			1			8			2680674
110			1			9			2680675
111			1			10			2680676
112			1			11			2680677
113			1			12			2680678
114			1			13			2680679
